model,store,product,horizon,smape,mase,rmse,rmsle
Naive,S004,P0005,14,45.7046,1.1415,47.9857,0.5623
Naive,S004,P0006,14,40.4192,0.8107,49.9756,0.5421
Naive,S004,P0007,14,44.088,0.8856,57.1393,0.6409
Naive,S004,P0008,14,51.9633,1.2354,39.2722,0.682
Naive,S004,P0009,14,46.8522,1.1258,63.6819,0.9452
Naive,S004,P0010,14,51.2413,0.9982,66.1532,0.7576
Naive,S004,P0011,14,40.9455,0.9119,54.7023,0.5555
Naive,S004,P0012,14,46.9027,1.3044,48.3126,0.5957
Naive,S004,P0013,14,52.8521,0.8815,57.0284,0.7312
Naive,S004,P0014,14,43.9284,0.845,38.5029,0.5937
Naive,S004,P0015,14,57.1163,1.0415,41.8299,0.7783
Naive,S004,P0016,14,53.1575,1.1157,45.8746,0.8542
Naive,S004,P0017,14,42.5405,0.9286,44.3668,0.6016
Naive,S004,P0018,14,54.6313,1.0538,35.2145,0.7315
Naive,S004,P0019,14,42.858,1.1908,52.9356,0.57
Naive,S004,P0020,14,49.4521,0.9288,37.7515,0.7802
Naive,S005,P0001,14,47.0097,0.8049,49.113,0.7692
Naive,S005,P0002,14,51.7516,1.2454,64.2457,0.6586
Naive,S005,P0003,14,41.2672,0.7519,34.5079,0.6533
Naive,S005,P0004,14,64.9917,1.4508,70.5971,0.8844
Naive,S005,P0005,14,70.8132,1.149,69.1952,2.1322
Naive,S005,P0006,14,46.1113,1.0298,68.5747,0.7897
Naive,S005,P0007,14,47.4545,0.8553,59.4889,0.6757
Naive,S005,P0008,14,42.7892,0.978,48.6457,0.5363
Naive,S005,P0009,14,45.9373,0.9551,60.2125,0.9151
Naive,S005,P0010,14,53.4716,1.1204,74.7483,0.7112
Naive,S005,P0011,14,55.0058,1.2442,62.6167,0.9253
Naive,S005,P0012,14,48.4146,0.996,39.7462,0.6784
Naive,S005,P0013,14,60.7086,1.1762,71.6748,0.7569
Naive,S005,P0014,14,43.7736,0.885,34.3156,0.6981
Naive,S005,P0015,14,38.3356,0.6694,46.0955,0.6991
Naive,S005,P0016,14,52.5342,0.9306,51.4558,0.9818
Naive,S005,P0017,14,54.1465,1.0205,45.8991,0.7594
Naive,S005,P0018,14,36.2544,0.7862,43.1372,0.4662
Naive,S005,P0019,14,55.2715,1.0868,40.8742,0.7202
Naive,S005,P0020,14,57.1693,1.0495,42.1382,0.7623
Naive,S001,P0001,28,55.1807,1.2811,53.6643,0.6828
Naive,S001,P0002,28,37.3547,0.8211,41.0572,0.4704
Naive,S001,P0003,28,62.8666,1.0952,72.6308,0.8369
Naive,S001,P0004,28,46.6518,0.9225,41.3085,0.7527
Naive,S001,P0005,28,35.9031,0.6993,41.1034,0.425
Naive,S001,P0006,28,41.5106,0.6287,41.3457,0.8428
Naive,S001,P0007,28,75.36,1.162,75.2765,1.1074
Naive,S001,P0008,28,51.5275,1.2721,47.8783,0.6461
Naive,S001,P0009,28,36.0046,0.9586,48.0228,0.4619
Naive,S001,P0010,28,35.1809,0.7513,28.7717,0.4555
Naive,S001,P0011,28,48.7348,0.9203,37.2723,0.6245
Naive,S001,P0012,28,45.5371,0.8427,50.4289,0.5954
Naive,S001,P0013,28,47.104,0.9348,38.7627,0.6294
Naive,S001,P0014,28,38.9937,0.7223,47.119,0.5841
Naive,S001,P0015,28,57.6545,1.0168,45.929,0.791
Naive,S001,P0016,28,42.7407,0.7181,50.3572,0.7431
Naive,S001,P0017,28,43.2639,0.8017,33.6988,0.6916
Naive,S001,P0018,28,35.9232,0.8118,39.9863,0.4638
Naive,S001,P0019,28,53.2505,1.0593,37.08,0.6677
Naive,S001,P0020,28,49.1567,0.8267,35.0073,0.6205
Naive,S002,P0001,28,75.5684,1.2396,76.6171,1.0288
Naive,S002,P0002,28,73.5042,1.0988,59.5143,1.0174
Naive,S002,P0003,28,48.2267,0.7663,47.1617,0.669
Naive,S002,P0004,28,63.7304,1.0498,62.3911,0.8552
Naive,S002,P0005,28,55.5097,1.01,52.7746,0.7028
Naive,S002,P0006,28,36.0748,0.948,39.3947,0.4782
Naive,S002,P0007,28,52.6734,0.9208,48.4548,0.7574
Naive,S002,P0008,28,43.6377,1.0585,52.588,0.5488
Naive,S002,P0009,28,57.5311,1.544,89.2607,0.7534
Naive,S002,P0010,28,34.4963,0.8243,43.4866,0.43
Naive,S002,P0011,28,69.3265,1.4633,92.9621,1.0292
Naive,S002,P0012,28,48.1908,0.92,46.7096,0.5932
Naive,S002,P0013,28,39.2422,0.6393,42.8366,0.6325
Naive,S002,P0014,28,72.7473,1.8313,92.9048,1.2152
Naive,S002,P0015,28,78.6374,1.2724,69.886,1.2347
Naive,S002,P0016,28,44.7177,1.0403,55.1324,0.7584
Naive,S002,P0017,28,83.926,1.3408,68.8255,1.2405
Naive,S002,P0018,28,33.0901,0.8289,33.6362,0.4321
Naive,S002,P0019,28,43.095,0.8916,48.9482,0.7607
Naive,S002,P0020,28,61.9601,1.5476,61.4622,0.8275
Naive,S003,P0001,28,71.7173,1.8018,97.2451,1.2483
Naive,S003,P0002,28,46.3643,0.8965,61.1817,0.8314
Naive,S003,P0003,28,34.055,0.7723,33.7071,0.4459
Naive,S003,P0004,28,47.4952,0.9195,59.5787,0.7844
