model,store,product,horizon,smape,mase,rmse,rmsle
SNaive,S002,P0005,14,53.1978,1.0936,56.3551,0.7282
SNaive,S002,P0006,14,45.8081,1.2346,53.2106,0.6185
SNaive,S002,P0007,14,65.3878,1.165,58.2868,0.9522
SNaive,S002,P0008,14,44.8307,1.0131,53.7534,0.6001
SNaive,S002,P0009,14,46.4158,0.9606,61.7322,0.6521
SNaive,S002,P0010,14,38.9457,0.982,48.3321,0.4811
SNaive,S002,P0011,14,66.348,1.0485,67.64,1.4026
SNaive,S002,P0012,14,46.3545,0.9432,45.7506,0.5932
SNaive,S002,P0013,14,48.1834,0.8229,53.4943,0.7625
SNaive,S002,P0014,14,66.1193,1.2944,64.7893,0.9816
SNaive,S002,P0015,14,61.37,1.1758,65.2078,1.2296
SNaive,S002,P0016,14,49.1604,1.0087,52.6822,0.9401
SNaive,S002,P0017,14,72.2387,1.1642,62.9832,1.1149
SNaive,S002,P0018,14,37.7818,0.9769,39.1962,0.5066
SNaive,S002,P0019,14,44.3636,0.9036,50.7438,0.733
SNaive,S002,P0020,14,57.8926,1.2086,47.4227,0.7215
SNaive,S003,P0001,14,78.7697,1.3559,70.857,1.5854
SNaive,S003,P0002,14,57.2347,0.9505,61.6871,1.0455
SNaive,S003,P0003,14,36.1602,0.8724,38.8265,0.52
SNaive,S003,P0004,14,62.4826,1.2491,75.7259,1.0061
SNaive,S003,P0005,14,70.6377,1.1346,60.1099,1.0899
SNaive,S003,P0006,14,57.3849,1.1067,47.9195,0.8624
SNaive,S003,P0007,14,44.0785,0.8872,58.6331,0.6282
SNaive,S003,P0008,14,38.63,0.9503,50.7195,0.4805
SNaive,S003,P0009,14,48.7035,1.1478,52.1153,0.6218
SNaive,S003,P0010,14,44.0427,0.9524,49.4338,0.7317
SNaive,S003,P0011,14,60.2633,1.0546,58.1012,1.381
SNaive,S003,P0012,14,50.5802,1.0756,42.1733,0.7882
SNaive,S003,P0013,14,50.9396,0.8482,52.7978,0.9444
SNaive,S003,P0014,14,49.6729,1.113,64.9911,0.6391
SNaive,S003,P0015,14,55.8425,0.8829,58.7844,0.9547
SNaive,S003,P0016,14,50.4499,0.998,59.8953,0.6923
SNaive,S003,P0017,14,64.0663,1.24,45.6714,0.9055
SNaive,S003,P0018,14,45.7754,0.9564,37.6927,0.6239
SNaive,S003,P0019,14,38.4418,0.8886,42.3002,0.5121
SNaive,S003,P0020,14,42.9081,0.9981,58.7253,0.5413
SNaive,S004,P0001,14,50.5264,0.9597,63.1038,1.0826
SNaive,S004,P0002,14,60.0604,0.8884,55.9793,1.0173
SNaive,S004,P0003,14,64.5233,1.3732,60.3992,0.8547
SNaive,S004,P0004,14,55.1914,1.0984,77.3667,1.1627
SNaive,S004,P0005,14,38.4348,0.9917,45.0115,0.524
SNaive,S004,P0006,14,40.7264,0.7698,49.9296,0.5535
SNaive,S004,P0007,14,57.22,1.1904,80.0177,0.8109
SNaive,S004,P0008,14,56.2542,1.1891,38.6954,0.7275
SNaive,S004,P0009,14,50.6157,1.0785,61.2392,1.1264
SNaive,S004,P0010,14,58.1368,1.0586,70.9264,1.077
SNaive,S004,P0011,14,45.7535,1.1019,71.1403,0.6915
SNaive,S004,P0012,14,41.6973,1.1493,46.4985,0.5376
SNaive,S004,P0013,14,60.2998,1.0894,69.1077,1.1109
SNaive,S004,P0014,14,53.4264,1.0129,46.3917,0.7433
SNaive,S004,P0015,14,50.6111,0.9111,38.5079,0.7371
SNaive,S004,P0016,14,67.8667,1.2689,50.4149,1.1829
SNaive,S004,P0017,14,45.1732,1.084,49.6064,0.5996
SNaive,S004,P0018,14,46.9495,0.9401,32.98,0.6946
SNaive,S004,P0019,14,36.1687,0.9324,47.751,0.5817
SNaive,S004,P0020,14,69.9516,1.2699,50.2393,1.1441
SNaive,S005,P0001,14,54.9261,0.9367,57.5066,1.1516
SNaive,S005,P0002,14,55.6935,1.2041,60.3296,0.7154
SNaive,S005,P0003,14,49.4009,0.9234,44.1376,0.7614
SNaive,S005,P0004,14,46.8524,1.0957,58.3444,0.6719
SNaive,S005,P0005,14,57.2694,1.0833,62.4984,1.1984
SNaive,S005,P0006,14,43.7858,0.9949,70.0261,0.8047
SNaive,S005,P0007,14,47.7974,0.9367,61.9576,0.7523
SNaive,S005,P0008,14,41.1196,0.8929,44.8986,0.5125
SNaive,S005,P0009,14,52.3051,1.0613,66.3002,0.9664
SNaive,S005,P0010,14,49.2288,0.998,68.8681,0.6826
SNaive,S005,P0011,14,60.5571,1.2611,61.5568,0.8919
SNaive,S005,P0012,14,53.159,1.181,44.5213,0.6839
SNaive,S005,P0013,14,55.1654,0.9923,62.3618,0.714
SNaive,S005,P0014,14,57.0421,1.152,47.7303,1.0689
SNaive,S005,P0015,14,48.9772,0.8875,58.6035,0.8605
SNaive,S005,P0016,14,78.5329,1.297,67.6955,1.4295
SNaive,S005,P0017,14,70.4109,1.3204,60.6651,1.1312
SNaive,S005,P0018,14,36.3278,0.8377,42.755,0.4443
SNaive,S005,P0019,14,52.8364,0.9982,41.4021,0.8239
SNaive,S005,P0020,14,60.7747,1.1309,45.6606,0.8652
SNaive,S001,P0001,28,47.1893,1.1484,53.366,0.6412
SNaive,S001,P0002,28,42.9777,1.0037,51.3499,0.5951
SNaive,S001,P0003,28,39.0894,0.764,49.2912,0.5664
SNaive,S001,P0004,28,57.5971,1.0799,50.9492,1.244
SNaive,S001,P0005,28,46.8793,0.9659,58.9446,0.5973
SNaive,S001,P0006,28,61.3504,0.9415,55.3055,1.0337
SNaive,S001,P0007,28,56.3387,1.0781,73.245,0.8015
SNaive,S001,P0008,28,49.0737,1.1715,49.7408,0.6485
SNaive,S001,P0009,28,41.8306,1.1447,59.806,0.5506
SNaive,S001,P0010,28,44.4179,1.0565,41.8944,0.6043
SNaive,S001,P0011,28,51.0337,1.0795,41.4569,0.6265
SNaive,S001,P0012,28,45.0448,0.8767,52.4713,0.6123
SNaive,S001,P0013,28,51.4378,1.0107,42.6899,0.7101
SNaive,S001,P0014,28,54.7315,0.975,60.7464,0.8621
SNaive,S001,P0015,28,51.8088,1.0292,47.6725,0.7772
SNaive,S001,P0016,28,43.7715,0.713,50.167,0.7036
SNaive,S001,P0017,28,46.8939,0.9288,39.4542,0.7816
SNaive,S001,P0018,28,44.9592,1.0333,55.411,0.6172
SNaive,S001,P0019,28,53.5788,1.1924,43.3241,0.7655
SNaive,S001,P0020,28,53.0052,0.9907,41.3497,0.7176
SNaive,S002,P0001,28,60.783,1.1066,70.5648,0.8148
SNaive,S002,P0002,28,57.0444,1.0587,56.9668,0.8165
SNaive,S002,P0003,28,46.4832,0.8271,52.0319,0.7059
SNaive,S002,P0004,28,47.137,0.943,58.6132,0.6301
SNaive,S002,P0005,28,51.597,1.0776,52.2591,0.6487
SNaive,S002,P0006,28,44.0623,1.1244,48.8661,0.5812
SNaive,S002,P0007,28,67.0817,1.2719,63.9348,1.0078
SNaive,S002,P0008,28,45.7315,1.0667,53.893,0.5901
SNaive,S002,P0009,28,45.7183,0.9691,62.6138,0.6474
SNaive,S002,P0010,28,38.2495,0.9112,46.5287,0.487
SNaive,S002,P0011,28,67.9175,1.1019,72.6918,1.4272
SNaive,S002,P0012,28,47.4519,1.0234,50.7407,0.6048
SNaive,S002,P0013,28,45.5344,0.7547,48.8728,0.6487
SNaive,S002,P0014,28,65.4402,1.2667,62.288,1.0148
SNaive,S002,P0015,28,62.0116,1.049,58.5923,1.3946
SNaive,S002,P0016,28,48.3843,1.0448,54.5273,0.7555
SNaive,S002,P0017,28,63.1556,1.1084,60.8466,1.0256
SNaive,S002,P0018,28,39.0544,0.9761,38.6398,0.5194
SNaive,S002,P0019,28,43.0015,0.8692,48.3004,0.7728
SNaive,S002,P0020,28,63.2045,1.3905,53.8633,0.7981
SNaive,S003,P0001,28,69.4469,1.3414,70.5711,1.4768
SNaive,S003,P0002,28,55.713,0.9874,65.2569,0.8769
SNaive,S003,P0003,28,38.3277,0.9338,41.4031,0.5376
SNaive,S003,P0004,28,54.9921,1.1917,75.0514,0.9241
SNaive,S003,P0005,28,59.8621,1.0713,56.4534,0.917
SNaive,S003,P0006,28,48.2134,0.9798,42.573,0.6745
SNaive,S003,P0007,28,37.9027,0.8027,57.9097,0.5729
SNaive,S003,P0008,28,38.0604,0.9486,51.0759,0.4842
SNaive,S003,P0009,28,45.0724,1.0679,50.8049,0.6035
SNaive,S003,P0010,28,46.813,1.0056,51.4995,0.8319
SNaive,S003,P0011,28,56.3127,1.0128,56.6736,1.4257
SNaive,S003,P0012,28,47.8,1.101,43.3575,0.7605
SNaive,S003,P0013,28,50.1174,0.8777,55.0029,1.0105
SNaive,S003,P0014,28,45.968,1.0255,58.0046,0.5476
SNaive,S003,P0015,28,54.2099,0.9007,63.8183,1.0543
SNaive,S003,P0016,28,47.3511,1.0046,62.8984,0.6265
SNaive,S003,P0017,28,51.6674,1.1326,44.4458,0.8838
SNaive,S003,P0018,28,45.9207,0.9877,38.3986,0.6053
SNaive,S003,P0019,28,38.2179,0.8657,40.5339,0.491
SNaive,S003,P0020,28,46.8382,1.0711,61.8208,0.6116
SNaive,S004,P0001,28,59.3793,1.1985,76.7867,1.3779
SNaive,S004,P0002,28,67.9983,1.0611,66.4746,1.1992
SNaive,S004,P0003,28,60.5612,1.3593,61.0918,0.8152
SNaive,S004,P0004,28,59.5439,1.1642,81.9898,1.4058
SNaive,S004,P0005,28,41.3212,1.0755,47.3232,0.5453
SNaive,S004,P0006,28,44.7634,0.8261,53.152,0.6229
SNaive,S004,P0007,28,55.0808,1.1065,76.3624,0.8192
SNaive,S004,P0008,28,50.3537,1.1722,38.5138,0.6553
SNaive,S004,P0009,28,52.2064,1.1542,61.5322,0.9348
SNaive,S004,P0010,28,63.0887,1.067,70.6914,1.2492
SNaive,S004,P0011,28,44.9948,1.0623,66.8346,0.6604
SNaive,S004,P0012,28,43.7114,1.2615,50.6718,0.5737
SNaive,S004,P0013,28,66.4302,1.1529,74.5708,1.2828
SNaive,S004,P0014,28,51.4856,1.0105,46.4266,0.7236
SNaive,S004,P0015,28,49.2914,0.9129,40.0336,0.8229
SNaive,S004,P0016,28,62.2104,1.2106,46.8493,0.9378
SNaive,S004,P0017,28,39.8959,0.9675,46.4034,0.5474
SNaive,S004,P0018,28,44.4287,0.9585,33.644,0.6389
SNaive,S004,P0019,28,38.1681,0.9348,46.1299,0.6051
SNaive,S004,P0020,28,60.0083,1.0823,42.7497,0.8911
SNaive,S005,P0001,28,55.5978,0.9549,56.9213,1.2573
SNaive,S005,P0002,28,54.6932,1.1788,59.9691,0.7245
