model,store,product,horizon,mase,smape,rmse,rmsle
Chronos-Bolt-Small,S003,P0019,14,0.5795,25.8774,29.25,0.3495
Chronos-Bolt-Small,S003,P0020,14,0.4382,19.9506,24.9053,0.241
Chronos-Bolt-Small,S004,P0001,14,0.383,17.1371,26.0452,0.2188
Chronos-Bolt-Small,S004,P0002,14,0.5301,31.8619,31.7833,0.4
Chronos-Bolt-Small,S004,P0003,14,0.9026,41.9556,37.7878,0.5052
Chronos-Bolt-Small,S004,P0004,14,0.5106,27.3598,33.4034,0.3231
Chronos-Bolt-Small,S004,P0005,14,0.7915,33.885,33.1493,0.4084
Chronos-Bolt-Small,S004,P0006,14,0.8834,38.2861,55.7605,0.4571
Chronos-Bolt-Small,S004,P0007,14,0.9314,38.5079,62.3137,0.4678
Chronos-Bolt-Small,S004,P0008,14,0.6137,22.8528,22.6985,0.292
Chronos-Bolt-Small,S004,P0009,14,0.6964,43.9244,38.9228,1.2868
Chronos-Bolt-Small,S004,P0010,14,0.8242,45.1522,50.5158,0.5077
Chronos-Bolt-Small,S004,P0011,14,0.5859,31.5592,30.6084,0.3681
Chronos-Bolt-Small,S004,P0012,14,0.9162,33.5138,36.0175,0.401
Chronos-Bolt-Small,S004,P0013,14,1.1055,53.2748,69.647,0.6091
Chronos-Bolt-Small,S004,P0014,14,0.6778,28.4763,34.5918,0.3961
Chronos-Bolt-Small,S004,P0015,14,0.6922,39.1723,29.6364,0.4818
Chronos-Bolt-Small,S004,P0016,14,0.8195,34.6171,33.4525,0.4163
Chronos-Bolt-Small,S004,P0017,14,0.731,26.7485,36.3911,0.3258
Chronos-Bolt-Small,S004,P0018,14,0.6454,25.4973,26.1877,0.3389
Chronos-Bolt-Small,S004,P0019,14,0.5069,21.2849,25.6816,0.2719
Chronos-Bolt-Small,S004,P0020,14,1.1155,54.4224,46.317,1.1829
Chronos-Bolt-Small,S005,P0001,14,0.6781,36.1642,42.5169,0.4253
Chronos-Bolt-Small,S005,P0002,14,0.6631,31.5955,35.4576,0.3899
Chronos-Bolt-Small,S005,P0003,14,0.6599,27.7684,36.7684,0.378
Chronos-Bolt-Small,S005,P0004,14,0.5549,25.2302,28.0358,0.3347
Chronos-Bolt-Small,S005,P0005,14,0.8687,49.8635,48.8467,1.2933
Chronos-Bolt-Small,S005,P0006,14,0.4097,24.2637,27.5577,0.368
Chronos-Bolt-Small,S005,P0007,14,1.0552,47.3304,75.0281,0.7915
Chronos-Bolt-Small,S005,P0008,14,0.6459,27.3527,32.6401,0.3389
Chronos-Bolt-Small,S005,P0009,14,0.6543,35.5984,37.0387,0.4227
Chronos-Bolt-Small,S005,P0010,14,0.4425,23.4534,29.0345,0.2881
