model,store,product,horizon,mse,rmse,mae,mape,smape,mase,rmsle
Prophet,S005,P0010,7,2145.5922,46.3205,37.35,56.2454,37.9871,0.7077,0.526
Prophet,S005,P0011,7,1822.3491,42.689,33.9525,8009725053.0474,42.2063,0.851,0.7424
Prophet,S005,P0012,7,1232.3003,35.1041,26.9432,65.9802,40.1257,0.8566,0.5781
Prophet,S005,P0013,7,2247.964,47.4127,37.8093,12447037489.4233,40.3605,0.7346,0.7261
Prophet,S005,P0014,7,981.4753,31.3285,23.5168,6739518387.4752,37.2291,0.7364,0.6452
Prophet,S005,P0015,7,1885.9367,43.4274,35.613,12165741028.6164,38.452,0.7216,0.706
Prophet,S005,P0016,7,1733.3151,41.6331,34.1047,9348520433.6836,48.1339,0.7838,0.8646
Prophet,S005,P0017,7,1593.3166,39.9164,31.3285,92.7499,44.926,0.8384,0.7115
Prophet,S005,P0018,7,1216.8726,34.8837,27.881,33.5671,29.8015,0.6801,0.3691
Prophet,S005,P0019,7,1050.5154,32.4117,26.7031,62.0588,42.8551,0.8476,0.5649
Prophet,S005,P0020,7,843.7491,29.0474,22.9511,64.1501,35.5447,0.663,0.5659
Prophet,S001,P0001,14,1626.3068,40.3275,31.1849,46.7455,37.0531,0.8596,0.4865
Prophet,S001,P0002,14,1207.5032,34.7491,27.3163,39.0694,29.844,0.6782,0.4233
Prophet,S001,P0003,14,2250.1047,47.4353,37.7354,69.9035,34.9278,0.7045,0.5412
Prophet,S001,P0004,14,1381.416,37.1674,30.9062,9698956638.3389,41.53,0.8378,0.7311
Prophet,S001,P0005,14,1624.2816,40.3024,34.2933,42.3613,34.9855,0.6895,0.4267
Prophet,S001,P0006,14,1890.178,43.4762,31.6745,16926362070.897,46.3653,0.721,0.8993
Prophet,S001,P0007,14,3031.3792,55.058,45.342,91.1824,45.862,0.8671,0.675
Prophet,S001,P0008,14,991.5569,31.489,24.375,41.7225,33.5864,0.7493,0.445
Prophet,S001,P0009,14,2339.3376,48.3667,37.751,37.7371,34.1141,0.8943,0.4388
Prophet,S001,P0010,14,985.6642,31.3953,24.7333,48.4228,36.6165,0.7872,0.4935
Prophet,S001,P0011,14,997.6798,31.5861,24.2255,52.6571,38.0839,0.7574,0.5117
Prophet,S001,P0012,14,1928.824,43.9184,34.9198,61.436,37.229,0.7198,0.558
Prophet,S001,P0013,14,1136.8117,33.7166,28.0228,74.3464,43.0638,0.8033,0.6197
Prophet,S001,P0014,14,1778.9683,42.1778,34.0719,76.5525,36.7185,0.6824,0.5681
Prophet,S001,P0015,14,1148.4401,33.8886,27.0392,72.3418,39.3738,0.739,0.6
Prophet,S001,P0016,14,1935.5694,43.9951,34.2594,12327069039.702,37.4567,0.6194,0.7043
Prophet,S001,P0017,14,1174.2784,34.2677,26.965,102.9539,43.422,0.8008,0.7035
Prophet,S001,P0018,14,1394.1019,37.3377,30.7426,44.4244,33.0552,0.7385,0.44
Prophet,S001,P0019,14,896.3232,29.9387,24.7305,67.2185,42.1114,0.8653,0.5825
Prophet,S001,P0020,14,948.5625,30.7987,25.2729,68.6521,43.2652,0.751,0.5982
Prophet,S002,P0001,14,2678.2515,51.7518,41.2744,67.0647,42.1007,0.7778,0.5898
Prophet,S002,P0002,14,1683.1827,41.0266,33.9689,75.3799,44.9806,0.7841,0.6289
Prophet,S002,P0003,14,1747.5723,41.804,34.839,94.1133,40.1981,0.7116,0.6278
Prophet,S002,P0004,14,1736.3296,41.6693,33.9508,44.1265,33.8938,0.6856,0.4447
Prophet,S002,P0005,14,1584.559,39.8065,32.138,56.6976,38.9591,0.7917,0.5316
Prophet,S002,P0006,14,1157.9354,34.0284,25.4429,37.4027,29.7697,0.7439,0.4177
